CODLDR______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"LR-00216"	"materialeB0"	78	2160	15	0
"LR-00217"	"materialeB0"	160	2160	15	0
"LR-00218"	"materialeB0"	340	2160	15	0
"LR-00219"	"materialeB0"	463	2160	15	0
"LR-00220"	"materialeB0"	472	2160	15	0
"LR-00221"	"materialeB0"	44	2160	15	0
"LR-00222"	"materialeB0"	153	2160	15	0
"LR-00223"	"materialeB0"	398	2160	15	0
"LR-00224"	"materialeB0"	257	2160	15	0
"LR-00225"	"materialeB0"	319	2160	15	0
"LR-00226"	"materialeB0"	152	2160	15	0
"LR-00227"	"materialeB0"	457	2160	15	0
"LR-00228"	"materialeB0"	323	2160	15	0
"LR-00229"	"materialeB0"	561	2160	15	0
"LR-00230"	"materialeB0"	414	2160	15	0
"LR-00231"	"materialeB0"	466	2160	15	0
"LR-00232"	"materialeB0"	556	323	15	0
"LR-00233"	"materialeB0"	356	2160	15	0
"LR-00234"	"materialeB0"	556	1062	15	0
"LR-00235"	"materialeB0"	226	2160	15	0
"LR-00236"	"materialeB0"	413	2160	15	0
"LR-00237"	"materialeB0"	456	2160	15	-10
"LR-00238"	"materialeB0"	456	2160	15	0
"LR-00239"	"materialeB0"	72	2160	15	0
"LR-00240"	"materialeB0"	231	2160	15	0
"LR-00241"	"materialeB0"	556	258	15	0
"LR-00242"	"materialeB0"	356	2095	15	0
"LR-00243"	"materialeB0"	226	2095	15	0
"LR-00244"	"materialeB0"	413	2095	15	0
"LR-00245"	"materialeB0"	456	2095	15	-10
"LR-00246"	"materialeB0"	456	2095	15	0
"LR-00247"	"materialeB0"	72	2095	15	0
"LR-00248"	"materialeB0"	231	2095	15	0
"LR-00249"	"materialeB0"	92	2160	15	0
"LR-00250"	"materialeB0"	45	2160	15	0
"LR-00251"	"materialeB0"	162	2160	15	0
"LR-00252"	"materialeB0"	430	2160	15	0
"LR-00253"	"materialeB0"	174	2160	15	0
"LR-00254"	"materialeB0"	188	2160	15	0
"LR-00255"	"materialeB0"	133	2160	15	-34
"LR-00256"	"materialeB0"	38	2160	15	0
"LR-00257"	"materialeB0"	107	2160	15	0
"LR-00258"	"materialeB0"	183	2095	15	0
"LR-00259"	"materialeB0"	156	2095	15	0
"LR-00260"	"materialeB0"	123	2095	15	0
"LR-00261"	"materialeB0"	83	2095	15	0
"LR-00262"	"materialeB0"	158	1915	15	0
"LR-00263"	"materialeB0"	208	1915	15	0
"LR-00264"	"materialeB0"	586	1915	15	0
"LR-00265"	"materialeB0"	63	2095	15	0
"LR-00266"	"materialeB0"	213	2095	15	0
"LR-00267"	"materialeB0"	87	2095	15	0
"LR-00268"	"materialeB0"	98	2095	15	0
"LR-00269"	"materialeB0"	127	2095	15	0
"LR-00270"	"materialeB0"	336	2095	15	0
"LR-00271"	"materialeB0"	135	2095	15	0
"LR-00272"	"materialeB0"	44	2095	15	0
"LR-00273"	"materialeB0"	183	2160	15	0
"LR-00274"	"materialeB0"	156	2160	15	0
"LR-00275"	"materialeB0"	238	2160	15	0
"LR-00276"	"materialeB0"	120	2160	15	0
"LR-00277"	"materialeB0"	339	2160	15	0
"LR-00278"	"materialeB0"	172	2160	15	0
"LR-00279"	"materialeB0"	252	2160	15	0
"LR-00280"	"materialeB0"	359	2160	15	0
"LR-00281"	"materialeB0"	191	2160	15	0
"LR-00282"	"materialeB0"	134	2160	15	0
"LR-00283"	"materialeB0"	556	2160	15	0
